Order_ID,Order_Date,Customer_Name,Region,Product,Category,Quantity,Unit_Price,Revenue,Cost,Profit
1001,2025-01-07,Michael,South,Monitor,Electronics,2,250,500,360,140
1002,2025-01-27,Sarah,West,Phone,Electronics,3,800,2400,1800,600
1003,2025-01-24,Emma,South,Laptop,Electronics,1,1200,1200,900,300
1004,2025-01-07,Emma,West,Desk,Furniture,10,300,3000,2200,800
1005,2025-05-31,Michael,North,Phone,Electronics,8,800,6400,4800,1600
1006,2025-03-29,Michael,South,Phone,Electronics,7,800,5600,4200,1400
1007,2025-01-27,Sarah,West,Phone,Electronics,6,800,4800,3600,1200
1008,2025-03-30,Michael,North,Laptop,Electronics,6,1200,7200,5400,1800
1009,2025-05-18,Sarah,West,Monitor,Electronics,8,250,2000,1440,560
1010,2025-03-17,Sophia,South,Laptop,Electronics,9,1200,10800,8100,2700
1011,2025-01-12,Emma,East,Monitor,Electronics,2,250,500,360,140
1012,2025-01-26,Daniel,East,Laptop,Electronics,4,1200,4800,3600,1200
1013,2025-02-11,Sophia,East,Chair,Furniture,6,150,900,600,300
1014,2025-06-29,Sarah,South,Phone,Electronics,5,800,4000,3000,1000
1015,2025-02-11,Olivia,West,Desk,Furniture,4,300,1200,880,320
1016,2025-02-26,Sophia,North,Tablet,Electronics,9,500,4500,3150,1350
1017,2025-03-22,Daniel,East,Phone,Electronics,1,800,800,600,200
1018,2025-05-26,Sophia,South,Laptop,Electronics,4,1200,4800,3600,1200
1019,2025-04-12,Olivia,South,Monitor,Electronics,8,250,2000,1440,560
1020,2025-03-05,Michael,West,Tablet,Electronics,3,500,1500,1050,450
1021,2025-04-03,Emma,South,Desk,Furniture,7,300,2100,1540,560
1022,2025-01-24,John,North,Desk,Furniture,8,300,2400,1760,640
1023,2025-06-24,Daniel,North,Phone,Electronics,3,800,2400,1800,600
1024,2025-06-02,Olivia,East,Chair,Furniture,7,150,1050,700,350
1025,2025-06-24,Sarah,East,Desk,Furniture,1,300,300,220,80
1026,2025-01-29,Michael,West,Monitor,Electronics,6,250,1500,1080,420
1027,2025-01-01,Michael,South,Phone,Electronics,8,800,6400,4800,1600
1028,2025-06-10,Michael,South,Desk,Furniture,2,300,600,440,160
1029,2025-02-11,John,East,Phone,Electronics,6,800,4800,3600,1200
1030,2025-01-29,Sophia,East,Chair,Furniture,1,150,150,100,50
1031,2025-03-03,Sarah,North,Phone,Electronics,1,800,800,600,200
1032,2025-01-18,David,South,Monitor,Electronics,8,250,2000,1440,560
1033,2025-05-21,David,East,Monitor,Electronics,8,250,2000,1440,560
1034,2025-04-19,Emma,South,Desk,Furniture,10,300,3000,2200,800
1035,2025-04-13,Sophia,West,Monitor,Electronics,5,250,1250,900,350
1036,2025-01-31,Emma,South,Desk,Furniture,8,300,2400,1760,640
1037,2025-01-06,Emma,South,Laptop,Electronics,6,1200,7200,5400,1800
1038,2025-06-11,John,South,Laptop,Electronics,2,1200,2400,1800,600
1039,2025-03-26,Sarah,South,Laptop,Electronics,1,1200,1200,900,300
1040,2025-02-24,David,West,Tablet,Electronics,8,500,4000,2800,1200
1041,2025-04-15,Emma,North,Phone,Electronics,8,800,6400,4800,1600
1042,2025-04-01,Daniel,West,Laptop,Electronics,7,1200,8400,6300,2100
1043,2025-06-22,Sarah,North,Chair,Furniture,1,150,150,100,50
1044,2025-01-28,Emma,South,Chair,Furniture,6,150,900,600,300
1045,2025-04-25,David,West,Phone,Electronics,9,800,7200,5400,1800
1046,2025-04-29,Emma,North,Phone,Electronics,5,800,4000,3000,1000
1047,2025-01-26,John,North,Chair,Furniture,9,150,1350,900,450
1048,2025-02-12,Daniel,West,Laptop,Electronics,4,1200,4800,3600,1200
1049,2025-04-13,John,South,Chair,Furniture,4,150,600,400,200
1050,2025-04-10,Michael,West,Chair,Furniture,1,150,150,100,50
1051,2025-06-28,Olivia,South,Tablet,Electronics,7,500,3500,2450,1050
1052,2025-02-25,John,North,Phone,Electronics,5,800,4000,3000,1000
1053,2025-01-15,John,West,Monitor,Electronics,6,250,1500,1080,420
1054,2025-02-10,John,North,Desk,Furniture,9,300,2700,1980,720
1055,2025-06-02,Sarah,South,Phone,Electronics,2,800,1600,1200,400
1056,2025-05-26,Emma,North,Chair,Furniture,2,150,300,200,100
1057,2025-04-18,Sophia,East,Desk,Furniture,2,300,600,440,160
1058,2025-03-03,Michael,West,Phone,Electronics,6,800,4800,3600,1200
1059,2025-04-28,Sophia,North,Phone,Electronics,5,800,4000,3000,1000
1060,2025-06-09,Sarah,North,Laptop,Electronics,8,1200,9600,7200,2400
1061,2025-05-10,Michael,South,Desk,Furniture,4,300,1200,880,320
1062,2025-03-04,Sophia,East,Tablet,Electronics,2,500,1000,700,300
1063,2025-05-20,Michael,North,Phone,Electronics,8,800,6400,4800,1600
1064,2025-03-18,Sarah,South,Monitor,Electronics,9,250,2250,1620,630
1065,2025-01-28,David,East,Tablet,Electronics,2,500,1000,700,300
1066,2025-02-23,Sophia,South,Tablet,Electronics,10,500,5000,3500,1500
1067,2025-05-10,Olivia,East,Monitor,Electronics,5,250,1250,900,350
1068,2025-06-12,Daniel,East,Laptop,Electronics,2,1200,2400,1800,600
1069,2025-03-27,David,East,Laptop,Electronics,1,1200,1200,900,300
1070,2025-05-22,Daniel,North,Phone,Electronics,8,800,6400,4800,1600
1071,2025-06-26,David,North,Laptop,Electronics,2,1200,2400,1800,600
1072,2025-05-22,David,West,Tablet,Electronics,10,500,5000,3500,1500
1073,2025-03-20,Sophia,North,Phone,Electronics,1,800,800,600,200
1074,2025-06-24,Emma,North,Tablet,Electronics,4,500,2000,1400,600
1075,2025-04-15,David,South,Tablet,Electronics,9,500,4500,3150,1350
1076,2025-04-16,John,South,Phone,Electronics,3,800,2400,1800,600
1077,2025-04-16,Emma,East,Monitor,Electronics,6,250,1500,1080,420
1078,2025-04-08,John,West,Phone,Electronics,2,800,1600,1200,400
1079,2025-04-28,Sophia,East,Phone,Electronics,4,800,3200,2400,800
1080,2025-01-07,Emma,West,Phone,Electronics,4,800,3200,2400,800
1081,2025-01-18,Michael,East,Tablet,Electronics,5,500,2500,1750,750
1082,2025-04-13,Sophia,North,Monitor,Electronics,9,250,2250,1620,630
1083,2025-02-15,Michael,North,Laptop,Electronics,5,1200,6000,4500,1500
1084,2025-04-22,Sophia,East,Laptop,Electronics,10,1200,12000,9000,3000
1085,2025-05-11,Sarah,West,Chair,Furniture,10,150,1500,1000,500
1086,2025-03-07,John,West,Desk,Furniture,4,300,1200,880,320
1087,2025-05-18,Emma,East,Laptop,Electronics,9,1200,10800,8100,2700
1088,2025-06-20,Sophia,East,Chair,Furniture,2,150,300,200,100
1089,2025-03-18,Michael,West,Monitor,Electronics,2,250,500,360,140
1090,2025-06-28,Michael,South,Tablet,Electronics,7,500,3500,2450,1050
1091,2025-06-20,Daniel,South,Phone,Electronics,7,800,5600,4200,1400
1092,2025-03-19,Daniel,North,Desk,Furniture,10,300,3000,2200,800
1093,2025-02-23,Daniel,East,Tablet,Electronics,5,500,2500,1750,750
1094,2025-04-24,Emma,West,Chair,Furniture,8,150,1200,800,400
1095,2025-06-18,Sarah,East,Monitor,Electronics,3,250,750,540,210
1096,2025-03-27,Sarah,South,Desk,Furniture,10,300,3000,2200,800
1097,2025-02-27,Emma,South,Monitor,Electronics,5,250,1250,900,350
1098,2025-03-04,Olivia,North,Laptop,Electronics,1,1200,1200,900,300
1099,2025-06-11,Emma,West,Chair,Furniture,7,150,1050,700,350
